city,vehicleNum
surat,GJ36T8292
surat,GJ05BX8182
surat,GJ05PD4995
surat,GJ05TN1239
surat,GJ05TP3842
surat,GJ05RH6541
surat,GJ05CX7095
surat,GJ05TA3669
surat,GJ05SC3398
surat,GJ05BT5416
surat,GJ17XX2135
surat,GJ05SC3398
surat,GJ05JQ7963
surat,GJ05LH3275
surat,GJ05RB2223
surat,AR01U4786
surat,GJ18BQ9090
surat,GJ16CC6756
surat,GJ05FX5308
surat,GJ05NW5642
surat,GJ05LN2434
surat,GJ05HR0714
surat,GJ05PK0513
surat,GJ05JH1369
surat,GJ05KU1139
surat,GJ05MX6639
surat,GJ05PY8942
surat,GJ05CV6134
surat,GJ05TM6668
surat,GJ05LW4363
surat,GJ05TG7444
surat,GJ05MW0523
surat,GJ05TD1638
surat,GJ10TX9092
surat,GJ05FN7444
surat,GJ05TB7347
surat,GJ05JK2444
surat,GJ05MY7641
surat,GJ22U2241
surat,GJ05SV6367
surat,GJ05NT3238
surat,GJ05JF3992
surat,GJ12FA0989
surat,GJ05BT7374
surat,GJ05MW6713
surat,GJ06HL0610
surat,GJ05KY8461
surat,GJ21CF1668
surat,GJ05NE3495
surat,GJ05HF7114
surat,GJ05TM7441
surat,GJ05RA8780
surat,GJ05LV6656
surat,GJ05RT1040
surat,GJ05RH7992
surat,GJ05LW1096
surat,GJ05BT1365
surat,GJ05TF8785
surat,GJ05TQ1548
surat,GJ05SY8803
surat,GJ05JF3992
surat,GJ05CW5029
surat,GJ05TL4090
surat,GJ05RS0594
surat,GJ05MT5237
surat,GJ05FS7255
surat,GJ05LT4090
surat,GJ18BP8905
surat,GJ05ZZ3108
surat,GJ05TJ2575
surat,GJ05KM8264
surat,GJ05NY8415
surat,GJ05BZ4033
surat,GJ05BX0988
surat,GJ05MW3524
surat,GJ19BG2544
surat,GJ14AR7005
surat,GJ05CN9198
surat,GJ05MX0373
surat,GJ05PH7779
surat,GJ16AW8887
surat,GJ05CV1438
surat,GJ16AW8887
surat,GJ05TK2318
surat,GJ01RP8345
surat,GJ05MZ0477
surat,GJ05PT4545
surat,GJ19WB4525
surat,GJ05PR0980
surat,GJ01HT8242
surat,GJ05TV2238
surat,GJ19Y5924
surat,GJ05RT8028
surat,GJ05JD0794
surat,GJ05MS8151
surat,GJ19BK4022
surat,GJ05NP8637
surat,GJ05MK0880
surat,GJ05ET3612
surat,GJ05SE3234
surat,GJ05BY1210
surat,GJ05PQ0880
surat,GJ05BY1210
surat,GJ05RS0594
surat,GJ05CV9155
surat,GJ05BY1210
surat,GJ05LW3610
surat,GJ05KP2684
surat,GJ01RD6185
surat,GJ05RV8300
surat,GJ05RQ4440
surat,GJ26AB8700
surat,GJ21AQ5857
surat,GJ05SG9217
surat,GJ16AY8878
surat,GJ05KP2684
surat,GJ05AU4395
surat,GJ05KJ4847
surat,GJ19Y1433
surat,GJ19Y1433
surat,GJ05JR8438
surat,GJ05LW0052
surat,GJ26U1395
surat,GJ01KQ0309
surat,GJ26U1395
surat,GJ05CL2129
surat,GJ05RB1564
surat,GJ05PZ5448
surat,GJ19X3251
surat,GJ05JH7304
surat,GJ18BR0658
surat,GJ18BR0658
surat,RJ14GJ1861
surat,GJ05TS5965
surat,GJ05TQ0081
surat,GJ05SQ2521
surat,GJ05PT0475
surat,GJ21BC5164
surat,GJ05BZ0142
