city,vehicleNum
vadodara,GJ23BJ9170
vadodara,GJ06MG5360
vadodara,GJ02CB1447
vadodara,GJ06PJ7770
vadodara,GJ13AR3890
vadodara,GJ06EA3241
vadodara,GJ32P5584
vadodara,GJ06JK2297
vadodara,GJ06PF1119
vadodara,GJ06MB3407
vadodara,GJ17UU9135
vadodara,GJ06ER7253
vadodara,GJ06AV4776
vadodara,GJ06KR3132
vadodara,MP46ZD1270
vadodara,GJ17Y1738
vadodara,GJ23AW2795
vadodara,GJ06LD1121
vadodara,GJ06NB7013
vadodara,GJ06QF3777
vadodara,GJ27ED8715
vadodara,MH09FL5853
vadodara,GJ06EF2807
vadodara,GJ18BT8227
vadodara,GJ06PM5202
vadodara,GJ06FN8421
vadodara,GJ06FN8421
vadodara,GJ06SA8910
vadodara,GJ06KG5713
vadodara,GJ06FN8421
vadodara,GJ06PN9613
vadodara,GJ12BW5974
vadodara,GJ06NS4519
vadodara,GJ16DC9944
vadodara,GJ06BU0922
vadodara,GJ14V7575
vadodara,GJ06MG7711
vadodara,GJ06MG7711
vadodara,GJ06BV5099
vadodara,GJ06LD4629
vadodara,GJ06NC8764
vadodara,GJ16DB6127
vadodara,GJ06MG7711
vadodara,GJ06PJ3707
vadodara,GJ06PJ3707
vadodara,GJ06FA7368
vadodara,GJ06MH1629
vadodara,GJ06LP6234
vadodara,GJ06KG5197
vadodara,GJ06BT1994
vadodara,GJ06QR2809
vadodara,GJ18AM6527
vadodara,GJ06AY8208
vadodara,GJ02AT4109
vadodara,GJ16CG9488
vadodara,GJ06FN8800
vadodara,GJ23AP5560
vadodara,GJ06QP4801
vadodara,GJ06QA9978
vadodara,GJ06PL0021
vadodara,GJ06HS6379
vadodara,GJ06BT4321
vadodara,GJ06JD6256
vadodara,GJ01VN1543
vadodara,MH48BM4538
vadodara,GJ25AA7211
vadodara,GJ06LS2745
vadodara,GJ06BZ0124
vadodara,GJ06QB5038
vadodara,GJ06PE7365
vadodara,GJ06PG5250
vadodara,GJ06BX4563
vadodara,GJ06BX6343
vadodara,HR80E5903
vadodara,GJ06NB9956
vadodara,GJ06BV4563
vadodara,GJ17CD4476
vadodara,GJ06BZ0124
vadodara,GJ23CF8019
vadodara,GJ27TD3963
vadodara,GJ06QC7782
vadodara,GJ07UU6125
vadodara,GJ23AW6590
vadodara,GJ23AV3011
vadodara,GJ18BT7356
vadodara,GJ06BV3805
vadodara,GJ06BT0039
vadodara,GJ06PH8399
vadodara,GJ06AV2244
vadodara,GJ13AW6814
vadodara,GJ23AD9527
vadodara,GJ19AQ4418
vadodara,GJ02AT1242
vadodara,GJ02AT1242
vadodara,AR01Y0007
vadodara,MH02FX2709
vadodara,GJ05RL9392
vadodara,GJ16DS4858
vadodara,RJ14GN6677
vadodara,GJ06HC3588
vadodara,KA16C5200
vadodara,GJ06PA8432
vadodara,GJ06MD3924
vadodara,NL07B0874
vadodara,GJ05CU5255
vadodara,GJ06MQ9312
vadodara,GJ09Z2245
vadodara,GJ32V9153
vadodara,GJ12AU5861
vadodara,GJ06KH0230
vadodara,RJ51GA1015
vadodara,GJ06AZ1117
vadodara,MH01BB2406
vadodara,GJ06FE6600
vadodara,GJ35H9511
vadodara,GJ06BT9496
vadodara,GJ06PR7173
vadodara,GJ06AY1352
vadodara,GJ06EL3396
vadodara,GJ16BN4203
vadodara,GJ23DD3348
vadodara,GJ06JE5428
vadodara,GJ05JE4621
